SessionId	ItemId	Time
154431	223	1622530144.0
154476	212	1622530814.0
154476	223	1622530859.0
154476	226	1622530968.0
40385	245	1622530903.0
40385	243	1622531940.0
60157	82	1622531005.0
60157	83	1622531024.0
154469	483	1622531053.0
154469	81	1622531211.0
12150	80	1622531199.0
12150	87	1622531248.0
12150	84	1622531329.0
12150	583	1622531438.0
12150	87	1622531693.0
12150	80	1622531723.0
12150	84	1622531749.0
12150	583	1622531807.0
12150	87	1622532072.0
12150	80	1622532094.0
12150	84	1622532111.0
95039	628	1622531266.0
95039	86	1622531400.0
95039	500	1622531458.0
154484	80	1622531285.0
154484	82	1622531306.0
154510	87	1622532046.0
154510	92	1622532210.0
154510	87	1622532220.0
137060	532	1622532099.0
137060	529	1622532330.0
147921	494	1622532190.0
147921	493	1622532232.0
147921	536	1622532258.0
147921	493	1622532434.0
146130	223	1622532211.0
146130	226	1622532237.0
122811	51	1622532594.0
122811	244	1622533984.0
122811	360	1622534022.0
122811	49	1622534142.0
83364	212	1622533345.0
83364	223	1622533421.0
83364	138	1622533542.0
83364	223	1622533740.0
29425	487	1622533368.0
29425	608	1622533708.0
147820	534	1622533372.0
147820	533	1622533389.0
147820	532	1622533400.0
154525	236	1622533543.0
154525	181	1622533701.0
154525	251	1622533714.0
37738	398	1622533853.0
37738	401	1622533870.0
37738	400	1622533917.0
55895	411	1622534035.0
55895	87	1622534045.0
154555	223	1622534119.0
154555	76	1622534743.0
34156	85	1622534147.0
34156	83	1622534162.0
154561	243	1622534262.0
154561	236	1622534280.0
112801	87	1622534298.0
112801	629	1622534469.0
112801	87	1622534577.0
154562	442	1622534317.0
154562	223	1622534350.0
77882	174	1622534683.0
77882	223	1622534722.0
27968	85	1622534923.0
27968	251	1622534995.0
27968	85	1622535331.0
27968	223	1622535483.0
27968	138	1622535628.0
87784	2	1622535260.0
87784	19	1622535298.0
87784	0	1622535304.0
87784	1	1622535311.0
87784	3	1622535316.0
87784	7	1622535322.0
87784	6	1622535333.0
111308	534	1622535337.0
111308	529	1622535355.0
44118	100	1622535348.0
44118	99	1622535543.0
44118	97	1622535630.0
44118	99	1622535667.0
44118	97	1622535684.0
44118	29	1622535705.0
39314	223	1622535356.0
39314	517	1622535715.0
39314	251	1622535985.0
39314	234	1622536106.0
39314	212	1622536159.0
39314	174	1622536213.0
39314	212	1622536394.0
154617	87	1622535474.0
154617	92	1622535542.0
154617	413	1622535608.0
154617	428	1622535622.0
154617	87	1622535768.0
154611	405	1622535474.0
154611	628	1622535559.0
154623	87	1622535696.0
154623	415	1622535707.0
64804	321	1622535780.0
64804	322	1622535797.0
64804	323	1622535809.0
64804	324	1622535839.0
64804	322	1622535946.0
64804	323	1622535998.0
64804	324	1622536229.0
154630	415	1622535870.0
154630	88	1622536033.0
154630	92	1622536127.0
154630	87	1622536136.0
154635	236	1622535921.0
154635	243	1622535934.0
154637	324	1622535998.0
154637	325	1622536012.0
12743	82	1622536046.0
12743	83	1622536069.0
34116	632	1622536177.0
34116	611	1622536217.0
34116	584	1622536251.0
34116	587	1622536271.0
34116	586	1622536301.0
154647	86	1622536183.0
